Subset_Name,Dataset_Name,Subset_Type,Data_Format,Link
Surface Seismic  : SEAM P1 Elastic,SEAM P1 Elastic,Surface Seismic ,segy,unknown
Borehole Seismic  : SEAM P1 Elastic,SEAM P1 Elastic,Borehole Seismic ,segy,unknown
Surface Seismic  : Poland 2D,Poland 2D,Surface Seismic ,unknown,https://wiki.seg.org/wiki/2D_Vibroseis_Line_001
CMP Gathers : Teapot Dome 3D,Teapot Dome 3D,CMP Gathers,segy,https://dataunderground.org/dataset/teapot-dome/resource/f78082c6-60b8-4489-a832-2f305e55a109?inner_span=True
Shot Gathers : Teapot Dome 3D,Teapot Dome 3D,Shot Gathers,segy,https://dataunderground.org/dataset/teapot-dome/resource/a3dd50d9-21bd-4d6d-82b4-029bf2b1b300?inner_span=True
Filtered Migration : Teapot Dome 3D,Teapot Dome 3D,Filtered Migration,segy,https://dataunderground.org/dataset/teapot-dome/resource/4f21c795-3a64-446d-80f9-b9cb489430b5?inner_span=True
Surface Seismic  : PGS Simultaneous Source Marine Line,PGS Simultaneous Source Marine Line,Surface Seismic ,mat,http://s3.amazonaws.com/open.source.geoscience/open_data/pgsblended/blended_data.mat
Prestack Seismic : Mobil AVO viking graben line 12,Mobil AVO viking graben line 12,Prestack Seismic,segy,http://s3.amazonaws.com/open.source.geoscience/open_data/Mobil_Avo_Viking_Graben_Line_12/seismic.segy
Borehole Seismic  : Mobil AVO viking graben line 12,Mobil AVO viking graben line 12,Borehole Seismic ,segy,http://s3.amazonaws.com/open.source.geoscience/open_data/Mobil_Avo_Viking_Graben_Line_12/seismic.segy
Surface Seismic  : ToC2ME,ToC2ME,Surface Seismic ,miniSEED,https://github.com/ToC2ME/ToC2ME
DAS : Brady Hot Springs,Brady Hot Springs,DAS,segy,https://registry.opendata.aws/nrel-pds-porotomo/
Shot Gathers : Stratton,Stratton,Shot Gathers,segy,https://wiki.seg.org/wiki/Stratton_3D_survey
Filtered Migration : Stratton,Stratton,Filtered Migration,segy,https://wiki.seg.org/wiki/Stratton_3D_survey
CMP Gathers : Stratton,Stratton,CMP Gathers,segy,https://wiki.seg.org/wiki/Stratton_3D_survey
Borehole Seismic  : Stratton,Stratton,Borehole Seismic ,segy,https://wiki.seg.org/wiki/Stratton_3D_survey
Poststack Seismic : Poseidon,Poseidon,Poststack Seismic,segy,https://drive.google.com/drive/folders/0B7brcf-eGK8CSlYtQUlDdldzWjg
Poststack Seismic : Penobscot,Penobscot,Poststack Seismic,OpendTect project,https://terranubis.com/datainfo/Penobscot
NMO Migrated Gathers : Penobscot,Penobscot,NMO Migrated Gathers,OpendTect project,https://terranubis.com/datainfo/Penobscot
Poststack Seismic : Blake Ridge,Blake Ridge,Poststack Seismic,OpendTect project,https://terranubis.com/download/Blake_Ridge_Hydrates_3D.zip/2
Poststack Seismic : Smeaheia,Smeaheia,Poststack Seismic,segy,https://co2datashare.org/dataset/smeaheia-dataset/resource/705d84fe-3054-4ab4-951b-c045782078fb?inner_span=True
Poststack Seismic : Smeaheia,Smeaheia,Poststack Seismic,ascii,https://co2datashare.org/dataset/smeaheia-dataset/resource/52033cc6-80d1-49d9-ac13-0aabc427935d
Borehole Seismic  : Northern Lights,Northern Lights,Borehole Seismic ,segy,unknown
Checkshot : Northern Lights,Northern Lights,Checkshot,ascii,unknown
Poststack Seismic : Sleipner,Sleipner,Poststack Seismic,segy,https://co2datashare.org/dataset/sleipner-4d-seismic-dataset
4D Offset Gathers : Volve ,Volve ,4D Offset Gathers,segy,https://data.equinor.com/dataset/Volve
4D Prestack Seismic : Volve ,Volve ,4D Prestack Seismic,segy,https://data.equinor.com/dataset/Volve
4D Far Stack : Volve ,Volve ,4D Far Stack,segy,https://data.equinor.com/dataset/Volve
4D Full Stack : Volve ,Volve ,4D Full Stack,segy,https://data.equinor.com/dataset/Volve
4D Mid Stack : Volve ,Volve ,4D Mid Stack,segy,https://data.equinor.com/dataset/Volve
4D Near Stack : Volve ,Volve ,4D Near Stack,segy,https://data.equinor.com/dataset/Volve
Borehole Seismic  : Volve,Volve,Borehole Seismic ,segy,https://data.equinor.com/dataset/Volve
Checkshot : Volve,Volve,Checkshot,ascii,https://data.equinor.com/dataset/Volve
Raw : Volve,Volve,Raw,segy,https://data.equinor.com/dataset/Volve
Prestack Seismic : Volve,Volve,Prestack Seismic,segy,https://data.equinor.com/dataset/Volve
PreMigrated : Volve,Volve,PreMigrated,segy,https://data.equinor.com/dataset/Volve
Far Stack : Volve,Volve,Far Stack,segy,https://data.equinor.com/dataset/Volve
Full Stack : Volve,Volve,Full Stack,segy,https://data.equinor.com/dataset/Volve
Mid Stack : Volve,Volve,Mid Stack,segy,https://data.equinor.com/dataset/Volve
Near Stack : Volve,Volve,Near Stack,segy,https://data.equinor.com/dataset/Volve
Prestack Seismic : Opunake,Opunake,Prestack Seismic,segy,http://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/OPUNAKE-3D/OPUNAKE3D-PR3461-FS.3D.Final_Stack.sgy
Far Stack : Parihaka,Parihaka,Far Stack,segy,http://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/PARIHAKA-3D/Parihaka_PSTM_far_stack.sgy
Full Stack : Parihaka,Parihaka,Full Stack,segy,http://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/PARIHAKA-3D/Parihaka_PSTM_full_angle.sgy
Mid Stack : Parihaka,Parihaka,Mid Stack,segy,http://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/PARIHAKA-3D/Parihaka_PSTM_mid_stack.sgy
Near Stack : Parihaka,Parihaka,Near Stack,segy,http://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/PARIHAKA-3D/Parihaka_PSTM_near_stack.sgy
Prestack Seismic : Kahu,Kahu,Prestack Seismic,segy,http://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/KAHU-3D/KAHU-3D-PR3177-FM.3D.Final_Migration.sgy
Prestack Seismic : Kerry,Kerry,Prestack Seismic,segy,http://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/Keri_3D/Kerry3D.segy
Poststack Seismic : Tui,Tui,Poststack Seismic,segy,https://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/TUI3D-PR2830-MIG/PEP38460_SUBLINE-3751-4050_XLINES-756-3230_3D_MIGRATION_TVF.SGY
Migrated Volume : Waihapa,Waihapa,Migrated Volume,segy,https://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/WAIHAPA-3D/3D-Waihapa.sgy
Migrated Volume : Waipuku,Waipuku,Migrated Volume,segy,https://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/WAIPUKU-3D/3D-Waipuku.sgy
Prestack Seismic : Waka,Waka,Prestack Seismic,segy,https://wiki.seg.org/wiki/Waka-3D
