Subset_Name,Dataset_Name,SupplementaryDataType,Data_Format,Link
Well Logs : SEAM P1 Elastic,SEAM P1 Elastic,Well Logs,ascii,unknown
Subsurface Models : SEAM P1 Elastic,SEAM P1 Elastic,Subsurface Models,binary,https://wiki.seg.org/wiki/Elastic_Earth_Model_Subset_%E2%80%93_2D
Surface Seismic  : Poland 2D,Poland 2D,Surface Seismic ,null,https://wiki.seg.org/wiki/2D_Vibroseis_Line_001
Well Logs : Teapot Dome 3D,Teapot Dome 3D,Well Logs,las,https://dataunderground.org/dataset/teapot-dome/resource/4b2a13b3-960f-475f-8a69-4253654481a1
Horizons : Teapot Dome 3D,Teapot Dome 3D,Horizons,xyz,https://dataunderground.org/dataset/teapot-dome/resource/4b2a13b3-960f-475f-8a69-4253654481a1
DMO Velocity : Teapot Dome 3D,Teapot Dome 3D,DMO Velocity,text,https://dataunderground.org/dataset/teapot-dome/resource/ea41c9eb-18cd-470f-bd1a-5e19c53a79f4?inner_span=True
Core images : Teapot Dome 3D,Teapot Dome 3D,Core images,jpeg,https://dataunderground.org/dataset/teapot-dome/resource/4b2a13b3-960f-475f-8a69-4253654481a1
Well Logs : Mobil AVO viking graben line 13,Mobil AVO viking graben line 13,Well Logs,lis,http://s3.amazonaws.com/open.source.geoscience/open_data/Mobil_Avo_Viking_Graben_Line_12/mobil_wellogs.tar.gz
Wavelet : Mobil AVO viking graben line 14,Mobil AVO viking graben line 14,Wavelet,ascii,http://s3.amazonaws.com/open.source.geoscience/open_data/Mobil_Avo_Viking_Graben_Line_12/FarField.dat
Event Catalogue  : ToC2ME,ToC2ME,Event Catalogue ,csv,https://github.com/ToC2ME/ToC2ME/blob/master/Eaton/Catalog_Eaton2018_SRL.csv
Event Catalogue : ToC2ME,ToC2ME,Event Catalogue,csv,https://github.com/ToC2ME/ToC2ME/blob/master/Igonin/Catalog_Igonin2020_Beamforming.csv
Event Catalogue : ToC2ME,ToC2ME,Event Catalogue,csv,https://github.com/ToC2ME/ToC2ME/blob/master/Poulin/Catalog_Poulin2019_FocalTimeDepth.csv
Event Catalogue : ToC2ME,ToC2ME,Event Catalogue,csv,https://github.com/ToC2ME/ToC2ME/blob/master/Rodriguez-Pradilla/Catalog_Rodriguez-Pradilla2019_PhDThesis.csv
Well Logs : Stratton,Stratton,Well Logs,text,https://wiki.seg.org/wiki/Stratton_3D_survey
Horizons : F3,F3,Horizons,unknown,unknown
Well Logs : Poseidon,Poseidon,Well Logs,ascii,https://drive.google.com/drive/folders/1s7y9mFMZN9YgsqXSw2WnyOYrNwqUoEbc
Well Logs : Penobscot,Penobscot,Well Logs,OpendTect project,https://terranubis.com/download/Penobscot.zip/1
Horizons : Penobscot,Penobscot,Horizons,OpendTect project,https://terranubis.com/download/Penobscot.zip/1
RMS Velocity Volume : Penobscot,Penobscot,RMS Velocity Volume,OpendTect project,https://terranubis.com/download/Penobscot.zip/1
Steering Cube : Penobscot,Penobscot,Steering Cube,OpendTect project,https://terranubis.com/download/Penobscot.zip/1
Steering Cube : Blake Ridge,Blake Ridge,Steering Cube,OpendTect project,https://terranubis.com/download/Blake_Ridge_Hydrates_3D.zip/2
Well Logs : Smeaheia,Smeaheia,Well Logs,las,https://co2datashare.org/dataset/smeaheia-dataset/resource/030604b6-fafa-4505-884d-be5813c0a6c0
Rock Mechanics Properties : Smeaheia,Smeaheia,Rock Mechanics Properties,unknown,https://co2datashare.org/dataset/smeaheia-dataset/resource/7481b930-0eb5-4819-9f81-5dbfbba6a722?inner_span=True
Stress Model : Smeaheia,Smeaheia,Stress Model,unknown,https://co2datashare.org/dataset/smeaheia-dataset/resource/7481b930-0eb5-4819-9f81-5dbfbba6a722?inner_span=True
Pressure Information : Smeaheia,Smeaheia,Pressure Information,unknown,https://co2datashare.org/dataset/smeaheia-dataset/resource/7481b930-0eb5-4819-9f81-5dbfbba6a722?inner_span=True
Temperature Information : Smeaheia,Smeaheia,Temperature Information,unknown,https://co2datashare.org/dataset/smeaheia-dataset/resource/7481b930-0eb5-4819-9f81-5dbfbba6a722?inner_span=True
Fault Sticks : Smeaheia,Smeaheia,Fault Sticks,ascii,https://co2datashare.org/dataset/smeaheia-dataset/resource/8e6889c8-14d8-47f2-97ee-04c68e896e42?inner_span=True
Surfaces : Smeaheia,Smeaheia,Surfaces,csv,https://co2datashare.org/dataset/smeaheia-dataset/resource/f3386363-bb9d-4c63-a03d-397c7844e545?inner_span=True
Velocity Model : Smeaheia,Smeaheia,Velocity Model,ascii,https://co2datashare.org/dataset/smeaheia-dataset/resource/63e38a5c-82ef-4e6b-9ee4-4c4d5c78683b?inner_span=True
Well Reports : Smeaheia,Smeaheia,Well Reports,pdf,https://co2datashare.org/dataset/smeaheia-dataset/resource/8e606949-dd4f-41d9-8ba3-a80a9983b588?inner_span=True
Simulation Models : Smeaheia,Smeaheia,Simulation Models,eclipse,https://co2datashare.org/dataset/smeaheia-dataset/resource/6458d49e-ae92-47fa-8da4-ca1192ef28cf?inner_span=True
Horizons : Smeaheia,Smeaheia,Horizons,unknown,https://co2datashare.org/dataset/smeaheia-dataset/resource/f0c7c9cf-d688-468f-bfe5-404d89254075?inner_span=True
Well Logs : Northern Lights,Northern Lights,Well Logs,ascii,unknown
Core images : Northern Lights,Northern Lights,Core images,tif,unknown
LWD : Northern Lights,Northern Lights,LWD,ascii,unknown
Pressure Information : Northern Lights,Northern Lights,Pressure Information,dlis,unknown
Well Test : Northern Lights,Northern Lights,Well Test,ascii,unknown
Biostratigraphy : Northern Lights,Northern Lights,Biostratigraphy,ascii,unknown
Formation Tops : Northern Lights,Northern Lights,Formation Tops,xlsx,unknown
Petrophysical Composite Log : Northern Lights,Northern Lights,Petrophysical Composite Log,dlis,unknown
Production Logs : Northern Lights,Northern Lights,Production Logs,dlis,unknown
Simulation Models : Sleipner,Sleipner,Simulation Models,eclipse,https://co2datashare.org/dataset/sleipner-2019-benchmark-model
Petrophysical Models : Sleipner,Sleipner,Petrophysical Models,unknown,https://co2datashare.org/dataset/sleipner-2019-benchmark-model
Well Logs : Sleipner,Sleipner,Well Logs,unknown,https://co2datashare.org/dataset/sleipner-2019-benchmark-model
RMS Velocity Volume : Sleipner,Sleipner,RMS Velocity Volume,unknown,https://co2datashare.org/dataset/sleipner-2019-benchmark-model
Isochron : Sleipner,Sleipner,Isochron,unknown,https://co2datashare.org/dataset/sleipner-2019-benchmark-model
Surfaces : Sleipner,Sleipner,Surfaces,rms,https://co2datashare.org/dataset/sleipner-2019-benchmark-model
Plume Outlines : Sleipner,Sleipner,Plume Outlines,unknown,https://co2datashare.org/dataset/sleipner-2019-benchmark-model
Feeders : Sleipner,Sleipner,Feeders,unknown,https://co2datashare.org/dataset/sleipner-2019-benchmark-model
Velocity Model : Volve,Volve,Velocity Model,segy,https://data.equinor.com/dataset/Volve
Source Signature : Volve,Volve,Source Signature,segy,https://data.equinor.com/dataset/Volve
Fault Sticks : Volve,Volve,Fault Sticks,dat,https://data.equinor.com/dataset/Volve
Fault Polygons : Volve,Volve,Fault Polygons,dat,https://data.equinor.com/dataset/Volve
Horizons : Volve,Volve,Horizons,dat,https://data.equinor.com/dataset/Volve
Well Picks : Volve,Volve,Well Picks,dat,https://data.equinor.com/dataset/Volve
Well Perforations : Volve,Volve,Well Perforations,dat,https://data.equinor.com/dataset/Volve
Production Data : Volve,Volve,Production Data,xlsx,https://data.equinor.com/dataset/Volve
Simulation Models : Volve,Volve,Simulation Models,eclipse,https://data.equinor.com/dataset/Volve
Well Logs : Volve,Volve,Well Logs,unknown,https://data.equinor.com/dataset/Volve
Pressure Information : Volve,Volve,Pressure Information,text,https://data.equinor.com/dataset/Volve
Petrophysical Composite Log : Volve,Volve,Petrophysical Composite Log,ascii,https://data.equinor.com/dataset/Volve
Core Logs : Volve,Volve,Core Logs,unknown,https://data.equinor.com/dataset/Volve
Production Logs : Volve,Volve,Production Logs,dlis,https://data.equinor.com/dataset/Volve
Integrity Logs : Volve,Volve,Integrity Logs,dlis,https://data.equinor.com/dataset/Volve
Geochemical Reports : Volve,Volve,Geochemical Reports,pdf,https://data.equinor.com/dataset/Volve
Drilling Reports : Volve,Volve,Drilling Reports,xml,https://data.equinor.com/dataset/Volve
Well Stress Check : Volve,Volve,Well Stress Check,sck,https://data.equinor.com/dataset/Volve
