Dataset_Name,GenerationProcedure,Region,OperatingEnvironment,SeismicGeometry,EnergySource,ReceiverType,ReceiverLocation,ReceiverNoComponents,Link
SEAM P1 Elastic,Synthetic,North America,Marine,2D ,unknown,unknown,Surface,unknown,unknown
SEAM P1 Elastic,Synthetic,North America,Marine,2D ,unknown,unknown,Borehole,unknown,unknown
Poland 2D,Field,Europe,Land,2D ,Vibroseis,unknown,Surface,unknown,https://wiki.seg.org/wiki/2D_Vibroseis_Line_001
Teapot Dome 3D,Field,North America,Land,3D,Vibroseis,unknown,unknown,unknown,https://wiki.seg.org/wiki/Teapot_dome_3D_survey
PGS Simultaneous Source Marine Line,Field,unknown,Marine,2D ,Airgun,unknown,unknown,unknown,https://wiki.seg.org/wiki/PGS_Simultaneous_Source_Marine_Line
Mobil AVO viking graben line 12,Field,Europe,Marine,2D ,Airgun,unknown,Surface,unknown,https://library.seg.org/doi/epdf/10.1190/1.9781560802082.ch1
Mobil AVO viking graben line 12,Field,Europe,Marine,2D ,Airgun,unknown,Borehole,unknown,https://library.seg.org/doi/epdf/10.1190/1.9781560802082.ch1
ToC2ME,Field,North America,Land,Passive,None,unknown,Borehole,unknown,https://github.com/ToC2ME/ToC2ME
Brady Hot Springs,Field,North America,Land,Passive,None,unknown,Surface,unknown,https://registry.opendata.aws/nrel-pds-porotomo/
Stratton,Field,North America,Land,3D,Vibroseis,unknown,Surface,unknown,https://wiki.seg.org/wiki/Stratton_3D_survey
Stratton,Field,North America,Land,3D,Vibroseis,unknown,Borehole,unknown,https://wiki.seg.org/wiki/Stratton_3D_survey
F3,Field,Europe,Marine,3D,Airgun,unknown,Surface,unknown,https://terranubis.com/datainfo/F3-Demo-2020
F3,Field,Europe,Marine,2D ,Airgun,unknown,Surface,unknown,https://terranubis.com/datainfo/F3-Demo-2020
Poseidon,Field,Oceania,Marine,3D,Airgun,unknown,Surface,unknown,https://drive.google.com/open?id=0B7brcf-eGK8Cbk9ueHA0QUU4Zjg
Penobscot,Field,North America,Marine,3D,Airgun,unknown,Surface,unknown,https://terranubis.com/datainfo/Penobscot
Penobscot,Field,North America,Marine,2D ,Airgun,unknown,Surface,unknown,https://terranubis.com/datainfo/Penobscot
Blake Ridge,Field,North America,Marine,3D,Airgun,unknown,Surface,unknown,https://terranubis.com/datainfo/Blake-Ridge-Hydrates-3D
Smeaheia,Field,Europe,Marine,3D,Airgun,unknown,unknown,unknown,https://co2datashare.org/dataset/smeaheia-dataset
Northern Lights,Field,Europe,Marine,2D ,Airgun,unknown,Borehole,unknown,https://data.equinor.com/dataset/NorthernLights
Sleipner,Field,Europe,Marine,4D,Airgun,unknown,Surface,unknown,https://co2datashare.org/dataset/sleipner-4d-seismic-dataset
Volve,Field,Europe,Marine,4D,Airgun,unknown,Surface,unknown,https://data.equinor.com/dataset/Volve
Volve ,Field,Europe,Marine,3D,Airgun,unknown,Surface,unknown,https://data.equinor.com/dataset/Volve
Volve ,Field,Europe,Marine,2D ,Airgun,unknown,Borehole,unknown,https://data.equinor.com/dataset/Volve
Opunake,Field,Oceania,Marine,3D,unknown,unknown,unknown,unknown,https://wiki.seg.org/wiki/Opunake-3D
Parihaka,Field,Oceania,Marine,3D,unknown,unknown,unknown,unknown,https://wiki.seg.org/wiki/Parihaka-3D
Kahu,Field,Oceania,Marine,3D,unknown,unknown,unknown,unknown,https://wiki.seg.org/wiki/Kahu-3D
Kerry,Field,Oceania,Marine,3D,unknown,unknown,unknown,unknown,https://wiki.seg.org/wiki/Kerry-3D
Tui,Field,Oceania,Marine,3D,unknown,unknown,unknown,unknown,https://wiki.seg.org/wiki/Tui-3D
Waihapa,Field,Oceania,Land,3D,unknown,unknown,unknown,unknown,https://wiki.seg.org/wiki/Waihapa-3D
Waipuku,Field,Oceania,Land,3D,unknown,unknown,unknown,unknown,https://wiki.seg.org/wiki/Waipuku-3D
Waka,Field,Oceania,Marine,3D,unknown,unknown,unknown,unknown,https://wiki.seg.org/wiki/Waka-3D
